                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.73921,                0.35991,                0.79643,                0.80964,                 0.5695,                0.65765,                0.44825,                0.75244,                0.35915,                0.79606,               0.001486,               0.001486,               0.001486
                     89,                0.74423,                0.36104,                 0.7963,                0.80681,                 0.5727,                0.65943,                0.44961,                0.75279,                0.35852,                0.79627,               0.001387,               0.001387,               0.001387
                     90,                0.73719,                0.35905,                0.79447,                0.80642,                0.57349,                0.65979,                0.44973,                0.75117,                0.35875,                0.79613,               0.001288,               0.001288,               0.001288
                     91,                0.74451,                 0.3593,                0.79366,                0.80866,                0.57196,                0.65939,                0.44822,                0.75387,                0.35938,                0.79616,               0.001189,               0.001189,               0.001189
                     92,                0.73804,                0.35439,                0.79244,                0.80886,                 0.5706,                 0.6597,                0.44805,                0.75468,                0.35907,                0.79597,                0.00109,                0.00109,                0.00109
                     93,                0.73057,                0.35042,                 0.7924,                0.81046,                  0.572,                0.66094,                0.44898,                0.75379,                0.35938,                  0.796,               0.000991,               0.000991,               0.000991
                     94,                0.72888,                0.34947,                0.79114,                0.81357,                0.57244,                0.66135,                0.44875,                0.75416,                0.35894,                0.79635,               0.000892,               0.000892,               0.000892
                     95,                0.72758,                0.34644,                0.79124,                0.81289,                0.57246,                0.66093,                0.44887,                0.75531,                0.35881,                0.79625,               0.000793,               0.000793,               0.000793
                     96,                0.72177,                0.34478,                0.79085,                 0.8151,                0.56955,                0.66037,                0.44935,                0.75412,                0.35783,                0.79609,               0.000694,               0.000694,               0.000694
                     97,                0.71963,                0.34319,                0.79086,                0.81722,                0.56849,                0.66081,                0.44969,                0.75366,                0.35743,                0.79614,               0.000595,               0.000595,               0.000595
                     98,                0.71421,                0.34098,                0.79081,                0.81894,                 0.5687,                 0.6612,                0.45002,                 0.7522,                0.35605,                0.79615,               0.000496,               0.000496,               0.000496
                     99,                0.71263,                0.33926,                   0.79,                0.81668,                  0.569,                0.66043,                0.44968,                0.75197,                0.35602,                0.79602,               0.000397,               0.000397,               0.000397
                    100,                0.71185,                0.33894,                0.78926,                0.81515,                0.57028,                0.66082,                0.45105,                0.75177,                0.35538,                0.79597,               0.000298,               0.000298,               0.000298
